,Name,Power Pre-KVK,DKP Goal,Kills,,Kills During KVK,,Hall of Heroes,,Kills,,Deaths,,Honor DKP,"Total DKP  (Kills, Deaths, Honor)",DKP minus 20% of Base Power
1,Vitas,108086222,21617244,356608514,429709872,372742683,473515854,0,1403961,16134169,87611964,0,9827727,25387,113827730,92210486
2,TwinDraco,76470006,15294001,67684844,58487552,82276343,90837083,229571,756144,14591499,64699062,918284,5293008,26809,85769943,70475942
3,SIR BENNY,72309962,14461992,247188202,145670982,259444035,175836413,290305,639593,12255833,60330862,1161220,4477151,28432,78509386,64047394
4,Lion,70464944,14092989,38471074,35940335,49946738,62474898,41877,569045,11475664,53069126,167508,3983315,242478,68938091,54845102
5,XPhilippX,101297133,20259427,297354262,290160561,310220785,317557912,1496,437571,12866523,54794702,5984,3062997,136974,70867180,50607753
6,Ronin,94738817,18947763,41389549,52810100,48040765,73704844,0,1713485,6651216,41789488,0,11994395,293202,60728301,41780538
7,Venom,76497744,15299549,148589783,109062948,156415888,127696310,0,1289600,7826105,37266724,0,9027200,251154,54371183,39071634
8,Deeps,75749064,15149813,17301566,31355980,24466659,45885785,630265,327282,7165093,29059610,2521060,2290974,313552,41350289,26200476
9,EgyptGlory,85870394,17174079,59465463,55602145,63653217,68692778,73936,1628854,4187754,26181266,295744,11401978,63049,42697232,25523153
10,DeltaLambda,90226879,18045376,139129724,152503847,147336155,169074633,0,252344,8206431,33141572,0,1766408,24099,43355401,25310025
11,KinkedUP,81938451,16387690,185614876,92235047,190015698,104751837,118397,1445876,4400822,25033580,473588,10121132,34005,40369172,23981482
12, Tamina,66226895,13245379,39518984,28844632,44816877,40049703,410977,602013,5297893,22410142,1643908,4214091,283628,33849662,20604283
13,Red Haired,89438151,17887630,126631188,76802413,132132931,87121699,21805,1527354,5501743,20638572,8722,10691478,238288,37942281,20054651
14, Oysang,91171581,18234316,55619259,60669241,59650159,71709768,207144,1515894,4030900,22081054,828576,10611258,318528,37870316,19636000
15, Chi Nin,71141614,14228323,34170840,35282823,38223075,45361776,195685,891651,4052235,20157906,78274,6241557,30238,31536818,17308495
16,SPOOKY ,72829552,14565910,25869022,26603867,30770837,37168965,0,734213,4901815,21130196,0,5139491,500258,31671760,17105850
17, Esp7,90428873,18085775,69705613,77998690,74431657,91767655,0,348985,4726044,27537930,0,2442895,374144,35081013,16995238
18,AMJD BOT,91044550,18208910,90198010,83177255,95484336,97864352,0,0,5286326,29374194,0,0,283352,34943872,16734962
19,furious kittens,78269755,15653951,59214448,38966297,63210695,49116441,1191,919584,3996247,20300288,4764,6437088,295756,31077019,15423068
20,KaCcA,81321745,16264349,91590477,95595257,95227730,105777672,5418,1025321,3637253,20364830,21672,7177247,339774,31540776,15276427
21, Harley,79652500,15930500,47037374,36161434,52061256,46275756,7196,71599,5023882,20228644,28784,5011930,514082,30807322,14876822
22, Loki,80799293,16159859,98100901,64170830,102054424,74507283,319239,63557,3953523,20672906,1276956,4448990,213448,30565823,14405964
23,Endi DJ,90135104,18027021,105450856,98403823,109266210,108606602,100856,980942,3815354,20405558,403424,6866594,391802,31882732,13855711
24, MinjuFrog,84902700,16980540,80319620,68995273,84741848,79679877,0,561617,4422228,21369208,0,3931319,333066,30055821,13075281
25,Mallakastriot,75894133,15178827,115350197,100176864,119580510,109118836,195397,464417,4230313,17883944,781588,3250919,255542,26402306,11223479
26,MightyRere,70634004,14126801,48815419,35488334,51350006,43318327,52894,896693,2534587,15659986,211576,6276851,322098,25005098,10878297
27, Cub Cub,90748519,18149704,89085249,68103088,91807595,77619087,952,957699,2722346,19031998,3808,6703893,257876,28719921,10570217
28, Gh0sT,65979429,13195886,10953214,3699920,14079466,11822277,229238,311623,3126252,16244714,916952,2181361,351688,22820967,9625081
29,Big KingC,70035040,14007008,59658078,56403103,62369485,65165689,95904,386782,2711407,17525172,383616,2707474,28479,23612459,9605451
30, H4RDSTYL3,62755647,12551129,8689765,7904677,11003323,14304072,14965,927403,2313558,12798790,5986,6491821,210712,21874741,9323612
31,BigNub,73840050,14768010,40654279,42795075,43779562,49904288,499795,622184,3125283,14218426,1999180,4355288,281756,23979933,9211923
32,BladeofMiquella,75058160,15011632,44777644,31695326,48255207,39450027,46748,667352,3477563,15509402,186992,4671464,254574,24099995,9088363
33, Trind,85907162,17181432,38891239,38032900,42430608,47105441,0,596569,3539369,18145082,0,4175983,370004,26230438,9049006
34, Panda,67452156,13490431,10082235,12696149,13102470,20108322,156753,523219,3020235,14824346,627012,3662533,39274,22526866,9036435
35,Shiva,120337700,24067540,139962654,107544876,144198815,117482517,15832,1083529,4236161,19875282,63328,7584703,360034,32119508,8051968
36, RistC,64785066,12957013,32876773,27368291,36144032,35377612,188766,90696,3267259,16018642,755064,634872,253702,20929539,7972526
37, Tomm,87804798,17560960,71372865,63896133,75111463,72207218,1255,643293,3738598,16622170,502,4503051,337886,25251905,7690945
38,Tuvzy,66597290,13319458,56976010,71083834,60162890,79649846,0,0,3186880,17132024,0,0,265802,20584706,7265248
39,CinnaMon,61862667,12372533,29499186,17489024,31793898,23579413,168205,496697,2294712,12180778,67282,3476879,665826,19291015,6918482
40,SoHappy,74664296,14932859,49365880,60279388,52704486,68599218,43026,179026,3338606,16639660,172104,1253182,289412,21692964,6760105
41, Ezeden,81284429,16256886,117979982,42432188,120494149,48584694,116117,1008240,2514167,12305012,464468,7057680,6247,22966027,6709141
42, NoBiTa,71212229,14242446,25309102,20046445,28433990,28768958,0,0,3124888,17445026,0,0,248758,20818672,6576226
43,Growith Holy,90906796,18181359,80907030,37175185,83254743,43100966,92634,1411185,2347713,11851562,370536,9878295,268896,24717002,6535643
44, Tequila,71616831,14323366,45505668,36473899,47748678,43489089,8051,566819,2243010,14030380,32204,3967733,250936,20524263,6200897
45,Gness,73631879,14726376,69790079,59134941,72418541,65846682,5176,627835,2628462,13423482,20704,4394845,264188,20731681,6005305
46, Mando,82547671,16509534,48127460,36801723,49778356,42232461,6375,1173021,1650896,10861476,255,8211147,24295,20991969,4482435
47, ZeroMight,77091996,15418399,60787776,34677411,63921073,39645716,413983,673322,3133297,9936610,1655932,4713254,249936,19689029,4270630
48,  znoY,71263561,14252712,55746065,58646560,57835504,64881880,461195,259207,2089439,12470640,1844780,1814449,27055,18489858,4237146
49,COACH,42560460,8512092,19021395,7304925,21593218,11453568,319832,0,2571823,8297286,1279328,0,300514,12448951,3936859
50,GenXXX,105249325,21049865,74428489,50845014,77251549,57392538,0,1128736,2823060,13095048,0,7901152,243582,24062842,3012977
51,Growith Đimas,64128940,12825788,49075581,24485567,53101440,30199705,0,0,4025859,11428276,0,0,255694,15709829,2884041
52, B3aR JK,84836924,16967385,73492937,58101919,76800620,64262027,0,522998,3307683,12320216,0,3660986,414144,19703029,2735644
53,Andrew7k,79591038,15918208,37592298,31520541,39554190,35641308,129,1167092,1961892,8241534,516,8169644,279616,18653202,2734994
54,evilSamman,50997814,10199563,7520969,13081806,8921573,17575601,557051,0,1400604,8987590,2228204,0,277902,12894300,2694737
55, Dark,52866908,10573382,6454739,7029838,8611289,10756064,828136,0,2156550,7452452,3312544,0,345016,13266562,2693180
56,Whisky,73304340,14660868,12163568,19485311,14377735,25604186,107689,315877,2214167,12237750,430756,2211139,248336,17342148,2681280
57, Ray tR,75245400,15049080,40593104,40767684,42792229,46573760,0,451078,2199125,11612152,0,3157546,248474,17217297,2168217
58, Buszido,53234119,10646824,5401577,3468841,7386412,7325697,49665,33278,1984835,7713712,19866,2329460,326202,12552869,1906045
59, KaSkaD,68706209,13741242,17143022,27890438,19830930,33721416,61848,84827,2687908,11661956,247392,593789,213674,15404719,1663477
60,Lord,68099932,13619986,38997871,44780370,41070966,49041362,0,622618,2073095,8521984,0,4358326,240056,15193461,1573475
61, HUNTER,59519689,11903938,5541841,4807354,6599832,6728798,1207225,490811,1057991,3842888,4828900,3435677,285064,13450520,1546582
62, Spitfire,70622704,14124541,11896642,9525632,13575547,14033681,233878,517371,1678905,9016098,935512,3621597,336368,15588480,1463939
63, ALiCE,55398361,11079672,7956467,9400669,9327943,13072797,827299,0,1371476,7344256,3309196,0,333882,12358810,1279138
64,ROMAN ua,72785533,14557107,87155846,68762339,90907109,74741546,0,0,3751263,11958414,0,0,0,15709677,1152570
65, Moromet,56415101,11283020,9262134,8905562,10561146,12265874,887125,70828,1299012,6720624,3548500,495796,323056,12386988,1103968
66, Maxxx233,70378809,14075762,15994899,18028184,18076026,22841104,604585,10041,2081127,9625840,2418340,70287,282636,15110813,1035051
67,???,51616745,10323349,6087336,4427367,6534223,6476740,744533,513983,446887,4098746,2978132,3597881,5127,11172916,849567
68, Sir Bart,57872789,11574558,4654803,5094520,5733549,7999010,18184,613321,1078746,5808980,72736,4293247,276304,12184637,610079
69, Miracle,72940555,14588111,44898154,26000018,46997925,30999651,39283,281226,2099771,9999266,157132,1968582,902452,15127203,539092
70,YURiNAToR,72842690,14568538,37574027,25077771,39398278,29707562,0,464477,1824251,9259582,0,3251339,713876,15049048,48051
71,Silence,78351049,15670210,37222705,27247821,39312291,31777732,13725,597582,2089586,9059822,549,4183074,324226,15711608,41398
72, Reem,48332428,9666486,5901257,3156882,7181651,5925714,598671,0,1280394,5537664,2394684,0,294702,9507444,-159042
73,fM Avatar96,56006347,11201269,3991094,2899889,4508992,4820564,1471692,71102,517898,3841350,5886768,497714,123022,10866752,-334517
74, Adel,80868157,16173631,32953176,33401500,34261517,36863131,1344,1030472,1308341,6923262,5376,7213304,31721,15815877,-357754
75, SYNDROME,80543485,16108697,95947586,43118208,97905348,46410776,188657,878853,1957762,6585136,754628,6151971,248834,15698331,-410366
76, Ano,66931698,13386340,4864586,7469580,6173389,10980274,14983,460976,1308803,7021388,59932,3226832,50211,12658453,-727887
77, Dark T,51467441,10293488,9375024,4225165,10115387,6568002,940728,0,740363,4685674,3762912,0,247026,9435975,-857513
78,Crain,76238158,15247632,89230726,30678683,90949712,35217883,0,46547,1718986,9078400,0,3258290,322648,14378324,-869308
79,KING SULTAN,53084093,10616819,7388536,4021737,9067134,7866324,0,0,1678598,7689174,0,0,344882,9712654,-904165
80,Infinity Star,86688505,17337701,35491772,35279754,37837619,41270287,473,241306,2345847,11981066,1892,1689142,269488,16287435,-1050266
81,LunaYue,68204866,13640973,22108161,13313871,23161664,17659955,39146,274171,1053503,8692168,156584,1919197,56314,12384592,-1256381
82, Legz4Days,85808759,17161752,58673280,22663846,60101917,25505307,42979,1177773,1428637,5682922,171916,8244411,35597,15883856,-1277896
83, Hulk,55669005,11133801,5547785,1822957,5759009,3358891,1202611,189908,211224,3071868,4810444,1329356,33873,9761622,-1372179
84,PHAGE,48487731,9697546,10362510,10216289,12115357,13391035,0,0,1752847,6349492,0,0,208556,8310895,-1386651
85, Svenniis,63102088,12620418,14161189,16045570,15569612,20087491,273495,45786,1408423,8083842,1093980,320502,175724,11082471,-1537947
86, SCORPION,50755811,10151162,13211201,8201096,14558281,11060555,294207,0,1347080,5718918,1176828,0,285896,8528722,-1622440
87,SuttanBay,47537862,9507572,4591578,2954399,4898577,3979166,1375008,0,306999,2049534,5500032,0,0,7856565,-1651007
88, Luffy GO,30787839,6157568,4171574,1086104,4586296,2030340,489406,0,414722,1888472,1957624,0,240124,4500942,-1656626
89, Mac Daez,53306392,10661278,7990547,7735006,8758790,10316244,5248,8879,768243,5162476,2099200,62153,243666,8895115,-1766163
90,Morrigan,71406131,14281226,32291299,29652408,33777046,33143449,255,518532,1485747,6982082,102,3629724,259714,12358287,-1922939
91,Title,57474276,11494855,32213266,20770574,33173507,23839570,0,248356,960241,6137992,0,1738492,547024,9383749,-2111106
